('3110', '4667', '645', '90', '1676169', '37000'),
('720', '140', '47', '44000001', '17997', '812'),
('4616', '1', '9', '430000019', '569', '114'),
('4081', '329', '322', '55', '185394', '65000'),
('398', '284', '99', '74000001', '99557', '21000'),
('299', '48', '14', '50', '3904', '495'),
('2558', '613', '99', '270000005', '50415', '806'),
('4577', '26', '101', '719999981', '14437', '0'),
('62', '596', '153', '869999981', '229012', '11000'),
('2131', '244', '89', '630000019', '47800', '0'),
('968', '462', '140', '75', '239540', '0'),
('868', '50', '20', '619999981', '5668', '491'),
('4216', '164', '260', '55999999', '59248', '48000'),
('3452', '39', '17', '70999999', '5741', '0'),
('292', '58', '78', '45', '1905', '249'),
('4561', '244', '285', '65', '92364', '15000'),
('2001', '83', '82', '719999981', '10585', '0'),
('2054', '255', '151', '669999981', '82731', '0'),
('1353', '148', '100', '50999999', '66941', '1000'),
('3291', '791', '279', '619999981', '186879', '0'),
('2192', '3', '', '60999999', '156', '22'),
('1773', '132', '58', '45999999', '12263', '564'),
('3904', '129', '156', '530000019', '37156', '0'),
('3274', '203', '161', '64000001', '132048', '12000'),
('1468', '85', '57', '35999999', '15517', '500'),
('325', '211', '127', '69000001', '29932', '0'),
('298', '294', '177', '75999999', '133966', '0'),
('3268', '304', '84', '810000038', '155249', '115000'),
('2705', '645', '236', '75999999', '295375', '15000'),
('3207', '39', '79', '64000001', '11958', '1000'),
('3147', '36', '60', '680000019', '6723', '1000'),
('1936', '117', '75', '55999999', '11815', '320'),
('3627', '89', '102', '580000019', '11950', '0'),
('437', '64', '52', '55', '5187', '902'),
('1801', '21', '28', '70', '493', '61'),
('1992', '122', '60', '64000001', '4894', '298'),
('2065', '28', '44', '75', '1747', '353'),
('844', '105', '50', '680000019', '15088', '824'),
('4319', '533', '440', '669999981', '328067', '68000'),
('4284', '105', '224', '619999981', '29282', '11000'),
('2717', '220', '143', '75', '77656', '0'),
('2464', '11', '27', '680000019', '1227', '62'),
('1308', '240', '111', '70999999', '24412', '944'),
('2389', '243', '151', '74000001', '31130', '0'),
('1094', '703', '98', '70999999', '169023', '10000'),
('85', '207', '103', '769999981', '67822', '0'),
('4192', '28', '62', '65', '8227', '0'),
('2230', '700', '233', '719999981', '136048', '0'),
('663', '72', '19', '60999999', '37611', '0'),
('2306', '2254', '357', '769999981', '259837', '13000'),
('4547', '275', '276', '74000001', '136973', '47000'),
('4857', '1', '', '719999981', '178', '0'),
('15', '204', '145', '769999981', '133348', '0'),
('1186', '106', '55', '59000001', '11232', '0'),
('2042', '786', '202', '580000019', '141533', '0'),
('1034', '218', '130', '70999999', '67604', '12000'),
('1781', '67', '12', '630000019', '5182', '912'),
('3357', '14', '21', '59000001', '2280', '448'),
('3804', '130', '231', '40', '20823', '0'),
('3229', '62', '149', '769999981', '8429', '0'),
('3793', '80', '54', '75', '13003', '10000'),
